# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   -1.03103103    0.00887128
   -0.99099099    0.00923716
   -0.95095095    0.00962885
   -0.91091091    0.01004882
   -0.87087087    0.01049980
   -0.83083083    0.01098484
   -0.79079079    0.01150731
   -0.75075075    0.01207100
   -0.71071071    0.01268011
   -0.67067067    0.01333930
   -0.63063063    0.01405377
   -0.59059059    0.01482922
   -0.55055055    0.01567197
   -0.51051051    0.01658891
   -0.47047047    0.01758749
   -0.43043043    0.01867574
   -0.39039039    0.01986210
   -0.35035035    0.02115531
   -0.31031031    0.02256418
   -0.27027027    0.02409724
   -0.23023023    0.02576236
   -0.19019019    0.02756623
   -0.15015015    0.02951379
   -0.11011011    0.03160762
   -0.07007007    0.03380806
   -0.03003003    0.03617338
    0.01001001    0.03869661
    0.05005005    0.04135040
    0.09009009    0.04410737
    0.13013013    0.04691904
    0.17017017    0.04975756
    0.21021021    0.05257911
    0.25025025    0.05532115
    0.29029029    0.05790852
    0.33033033    0.06025554
    0.37037037    0.06227050
    0.41041041    0.06386306
    0.45045045    0.06495373
    0.49049049    0.06548439
    0.53053053    0.06542739
    0.57057057    0.06479121
    0.61061061    0.06362082
    0.65065065    0.06199262
    0.69069069    0.06000482
    0.73073073    0.05776578
    0.77077077    0.05538249
    0.81081081    0.05295142
    0.85085085    0.05055256
    0.89089089    0.04824678
    0.93093093    0.04607596
    0.97097097    0.04406494
    1.01101101    0.04222452
    1.05105105    0.04055489
    1.09109109    0.03904898
    1.13113113    0.03769560
    1.17117117    0.03648197
    1.21121121    0.03539556
    1.25125125    0.03442528
    1.29129129    0.03356193
    1.33133133    0.03279815
    1.37137137    0.03212813
    1.41141141    0.03154710
    1.45145145    0.03105091
    1.49149149    0.03063563
    1.53153153    0.03029729
    1.57157157    0.03003158
    1.61161161    0.02983374
    1.65165165    0.02969837
    1.69169169    0.02961951
    1.73173173    0.02959070
    1.77177177    0.02960526
    1.81181181    0.02965663
    1.85185185    0.02973867
    1.89189189    0.02984593
    1.93193193    0.02997366
    1.97197197    0.03011763
    2.01201201    0.03027390
    2.05205205    0.03043844
    2.09209209    0.03060687
    2.13213213    0.03077433
    2.17217217    0.03093546
    2.21221221    0.03108458
    2.25225225    0.03121600
    2.29229229    0.03132449
    2.33233233    0.03140583
    2.37237237    0.03145729
    2.41241241    0.03147786
    2.45245245    0.03146811
    2.49249249    0.03142971
    2.53253253    0.03136467
    2.57257257    0.03127464
    2.61261261    0.03116045
    2.65265265    0.03102212
    2.69269269    0.03085920
    2.73273273    0.03067149
    2.77277277    0.03045953
    2.81281281    0.03022501
    2.85285285    0.02997063
    2.89289289    0.02969977
    2.93293293    0.02941608
    2.97297297    0.02912314
    3.01301301    0.02882433
    3.05305305    0.02852287
    3.09309309    0.02822194
    3.13313313    0.02792471
    3.17317317    0.02763439
    3.21321321    0.02735408
    3.25325325    0.02708667
    3.29329329    0.02683457
    3.33333333    0.02659955
    3.37337337    0.02638262
    3.41341341    0.02618398
    3.45345345    0.02600314
    3.49349349    0.02583917
    3.53353353    0.02569103
    3.57357357    0.02555789
    3.61361361    0.02543948
    3.65365365    0.02533622
    3.69369369    0.02524924
    3.73373373    0.02518020
    3.77377377    0.02513103
    3.81381381    0.02510364
    3.85385385    0.02509970
    3.89389389    0.02512050
    3.93393393    0.02516704
    3.97397397    0.02524012
    4.01401401    0.02534058
    4.05405405    0.02546947
    4.09409409    0.02562804
    4.13413413    0.02581760
    4.17417417    0.02603928
    4.21421421    0.02629363
    4.25425425    0.02658035
    4.29429429    0.02689804
    4.33433433    0.02724420
    4.37437437    0.02761521
    4.41441441    0.02800656
    4.45445445    0.02841295
    4.49449449    0.02882870
    4.53453453    0.02924800
    4.57457457    0.02966550
    4.61461461    0.03007681
    4.65465465    0.03047908
    4.69469469    0.03087144
    4.73473473    0.03125516
    4.77477477    0.03163348
    4.81481481    0.03201111
    4.85485485    0.03239335
    4.89489489    0.03278527
    4.93493493    0.03319090
    4.97497497    0.03361286
    5.01501502    0.03405237
    5.05505506    0.03450960
    5.09509510    0.03498440
    5.13513514    0.03547728
    5.17517518    0.03599038
    5.21521522    0.03652832
    5.25525526    0.03709881
    5.29529530    0.03771267
    5.33533534    0.03838333
    5.37537538    0.03912594
    5.41541542    0.03995625
    5.45545546    0.04088946
    5.49549550    0.04193946
    5.53553554    0.04311820
    5.57557558    0.04443545
    5.61561562    0.04589875
    5.65565566    0.04751351
    5.69569570    0.04928298
    5.73573574    0.05120837
