# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   -1.03103103    0.00167936
   -0.99099099    0.00169382
   -0.95095095    0.00170849
   -0.91091091    0.00172337
   -0.87087087    0.00173846
   -0.83083083    0.00175377
   -0.79079079    0.00176930
   -0.75075075    0.00178506
   -0.71071071    0.00180106
   -0.67067067    0.00181729
   -0.63063063    0.00183377
   -0.59059059    0.00185050
   -0.55055055    0.00186748
   -0.51051051    0.00188473
   -0.47047047    0.00190225
   -0.43043043    0.00192004
   -0.39039039    0.00193812
   -0.35035035    0.00195650
   -0.31031031    0.00197517
   -0.27027027    0.00199414
   -0.23023023    0.00201343
   -0.19019019    0.00203304
   -0.15015015    0.00205298
   -0.11011011    0.00207324
   -0.07007007    0.00209374
   -0.03003003    0.00211461
    0.01001001    0.00213589
    0.05005005    0.00215760
    0.09009009    0.00217975
    0.13013013    0.00220220
    0.17017017    0.00222498
    0.21021021    0.00224815
    0.25025025    0.00227172
    0.29029029    0.00229570
    0.33033033    0.00232010
    0.37037037    0.00234492
    0.41041041    0.00237017
    0.45045045    0.00239586
    0.49049049    0.00242201
    0.53053053    0.00244863
    0.57057057    0.00247573
    0.61061061    0.00250334
    0.65065065    0.00253146
    0.69069069    0.00256012
    0.73073073    0.00258935
    0.77077077    0.00261914
    0.81081081    0.00264951
    0.85085085    0.00268048
    0.89089089    0.00271204
    0.93093093    0.00274420
    0.97097097    0.00277697
    1.01101101    0.00281034
    1.05105105    0.00284432
    1.09109109    0.00287893
    1.13113113    0.00291419
    1.17117117    0.00295010
    1.21121121    0.00298669
    1.25125125    0.00302398
    1.29129129    0.00306197
    1.33133133    0.00310067
    1.37137137    0.00314009
    1.41141141    0.00318020
    1.45145145    0.00322102
    1.49149149    0.00326254
    1.53153153    0.00330476
    1.57157157    0.00334771
    1.61161161    0.00339141
    1.65165165    0.00343590
    1.69169169    0.00348123
    1.73173173    0.00352744
    1.77177177    0.00357459
    1.81181181    0.00362272
    1.85185185    0.00367187
    1.89189189    0.00372207
    1.93193193    0.00377334
    1.97197197    0.00382572
    2.01201201    0.00387920
    2.05205205    0.00393382
    2.09209209    0.00398959
    2.13213213    0.00404654
    2.17217217    0.00410472
    2.21221221    0.00416417
    2.25225225    0.00422493
    2.29229229    0.00428708
    2.33233233    0.00435067
    2.37237237    0.00441576
    2.41241241    0.00448241
    2.45245245    0.00455069
    2.49249249    0.00462066
    2.53253253    0.00469237
    2.57257257    0.00476590
    2.61261261    0.00484131
    2.65265265    0.00491869
    2.69269269    0.00499810
    2.73273273    0.00507965
    2.77277277    0.00516342
    2.81281281    0.00524951
    2.85285285    0.00533804
    2.89289289    0.00542911
    2.93293293    0.00552283
    2.97297297    0.00561933
    3.01301301    0.00571872
    3.05305305    0.00582115
    3.09309309    0.00592674
    3.13313313    0.00603563
    3.17317317    0.00614797
    3.21321321    0.00626391
    3.25325325    0.00638362
    3.29329329    0.00650725
    3.33333333    0.00663499
    3.37337337    0.00676701
    3.41341341    0.00690352
    3.45345345    0.00704472
    3.49349349    0.00719085
    3.53353353    0.00734215
    3.57357357    0.00749890
    3.61361361    0.00766140
    3.65365365    0.00782995
    3.69369369    0.00800490
    3.73373373    0.00818660
    3.77377377    0.00837544
    3.81381381    0.00857181
    3.85385385    0.00877614
    3.89389389    0.00898890
