# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00078831
   -9.95995996    0.00079325
   -9.91991992    0.00079824
   -9.87987988    0.00080328
   -9.83983984    0.00080837
   -9.79979980    0.00081351
   -9.75975976    0.00081870
   -9.71971972    0.00082395
   -9.67967968    0.00082925
   -9.63963964    0.00083461
   -9.59959960    0.00084002
   -9.55955956    0.00084549
   -9.51951952    0.00085101
   -9.47947948    0.00085660
   -9.43943944    0.00086224
   -9.39939940    0.00086794
   -9.35935936    0.00087370
   -9.31931932    0.00087953
   -9.27927928    0.00088541
   -9.23923924    0.00089136
   -9.19919920    0.00089737
   -9.15915916    0.00090345
   -9.11911912    0.00090959
   -9.07907908    0.00091581
   -9.03903904    0.00092208
   -8.99899900    0.00092843
   -8.95895896    0.00093485
   -8.91891892    0.00094134
   -8.87887888    0.00094790
   -8.83883884    0.00095454
   -8.79879880    0.00096125
   -8.75875876    0.00096804
   -8.71871872    0.00097490
   -8.67867868    0.00098184
   -8.63863864    0.00098886
   -8.59859860    0.00099597
   -8.55855856    0.00100315
   -8.51851852    0.00101042
   -8.47847848    0.00101777
   -8.43843844    0.00102521
   -8.39839840    0.00103274
   -8.35835836    0.00104035
   -8.31831832    0.00104806
   -8.27827828    0.00105586
   -8.23823824    0.00106375
   -8.19819820    0.00107174
   -8.15815816    0.00107982
   -8.11811812    0.00108800
   -8.07807808    0.00109628
   -8.03803804    0.00110467
   -7.99799800    0.00111315
   -7.95795796    0.00112175
   -7.91791792    0.00113045
   -7.87787788    0.00113926
   -7.83783784    0.00114818
   -7.79779780    0.00115721
   -7.75775776    0.00116636
   -7.71771772    0.00117562
   -7.67767768    0.00118500
   -7.63763764    0.00119451
   -7.59759760    0.00120414
   -7.55755756    0.00121389
   -7.51751752    0.00122377
   -7.47747748    0.00123378
   -7.43743744    0.00124393
   -7.39739740    0.00125420
   -7.35735736    0.00126462
   -7.31731732    0.00127518
   -7.27727728    0.00128588
   -7.23723724    0.00129672
   -7.19719720    0.00130772
   -7.15715716    0.00131886
   -7.11711712    0.00133016
   -7.07707708    0.00134162
   -7.03703704    0.00135323
   -6.99699700    0.00136501
   -6.95695696    0.00137696
   -6.91691692    0.00138907
   -6.87687688    0.00140136
   -6.83683684    0.00141382
   -6.79679680    0.00142647
   -6.75675676    0.00143930
   -6.71671672    0.00145231
   -6.67667668    0.00146552
   -6.63663664    0.00147892
   -6.59659660    0.00149252
   -6.55655656    0.00150633
   -6.51651652    0.00152034
   -6.47647648    0.00153457
   -6.43643644    0.00154901
