# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00069037
   -9.95995996    0.00069440
   -9.91991992    0.00069847
   -9.87987988    0.00070258
   -9.83983984    0.00070673
   -9.79979980    0.00071092
   -9.75975976    0.00071515
   -9.71971972    0.00071942
   -9.67967968    0.00072373
   -9.63963964    0.00072808
   -9.59959960    0.00073248
   -9.55955956    0.00073692
   -9.51951952    0.00074140
   -9.47947948    0.00074593
   -9.43943944    0.00075051
   -9.39939940    0.00075513
   -9.35935936    0.00075979
   -9.31931932    0.00076450
   -9.27927928    0.00076927
   -9.23923924    0.00077407
   -9.19919920    0.00077893
   -9.15915916    0.00078384
   -9.11911912    0.00078880
   -9.07907908    0.00079381
   -9.03903904    0.00079887
   -8.99899900    0.00080399
   -8.95895896    0.00080916
   -8.91891892    0.00081438
   -8.87887888    0.00081966
   -8.83883884    0.00082499
   -8.79879880    0.00083038
   -8.75875876    0.00083583
   -8.71871872    0.00084134
   -8.67867868    0.00084691
   -8.63863864    0.00085254
   -8.59859860    0.00085823
   -8.55855856    0.00086398
   -8.51851852    0.00086980
   -8.47847848    0.00087568
   -8.43843844    0.00088162
   -8.39839840    0.00088764
   -8.35835836    0.00089372
   -8.31831832    0.00089986
   -8.27827828    0.00090608
   -8.23823824    0.00091237
   -8.19819820    0.00091873
   -8.15815816    0.00092517
   -8.11811812    0.00093167
   -8.07807808    0.00093826
   -8.03803804    0.00094492
   -7.99799800    0.00095166
   -7.95795796    0.00095848
   -7.91791792    0.00096538
   -7.87787788    0.00097236
   -7.83783784    0.00097942
   -7.79779780    0.00098657
   -7.75775776    0.00099381
   -7.71771772    0.00100113
   -7.67767768    0.00100855
   -7.63763764    0.00101605
   -7.59759760    0.00102365
   -7.55755756    0.00103134
   -7.51751752    0.00103913
   -7.47747748    0.00104701
   -7.43743744    0.00105499
   -7.39739740    0.00106308
   -7.35735736    0.00107127
   -7.31731732    0.00107956
   -7.27727728    0.00108796
   -7.23723724    0.00109647
   -7.19719720    0.00110509
   -7.15715716    0.00111382
   -7.11711712    0.00112267
   -7.07707708    0.00113163
   -7.03703704    0.00114071
   -6.99699700    0.00114992
   -6.95695696    0.00115925
   -6.91691692    0.00116870
   -6.87687688    0.00117829
   -6.83683684    0.00118800
   -6.79679680    0.00119785
   -6.75675676    0.00120783
   -6.71671672    0.00121796
   -6.67667668    0.00122822
   -6.63663664    0.00123863
   -6.59659660    0.00124919
   -6.55655656    0.00125990
   -6.51651652    0.00127076
   -6.47647648    0.00128178
   -6.43643644    0.00129296
   -6.39639640    0.00130431
   -6.35635636    0.00131582
   -6.31631632    0.00132750
   -6.27627628    0.00133935
   -6.23623624    0.00135138
   -6.19619620    0.00136359
   -6.15615616    0.00137599
   -6.11611612    0.00138858
   -6.07607608    0.00140136
   -6.03603604    0.00141434
   -5.99599600    0.00142752
   -5.95595596    0.00144091
   -5.91591592    0.00145451
   -5.87587588    0.00146833
   -5.83583584    0.00148236
   -5.79579580    0.00149663
   -5.75575576    0.00151112
   -5.71571572    0.00152585
   -5.67567568    0.00154082
   -5.63563564    0.00155605
   -5.59559560    0.00157152
   -5.55555556    0.00158726
   -5.51551552    0.00160326
   -5.47547548    0.00161953
   -5.43543544    0.00163608
   -5.39539540    0.00165292
   -5.35535536    0.00167005
   -5.31531532    0.00168749
   -5.27527528    0.00170523
   -5.23523524    0.00172328
   -5.19519520    0.00174166
   -5.15515516    0.00176038
   -5.11511512    0.00177943
   -5.07507508    0.00179883
   -5.03503504    0.00181859
   -4.99499499    0.00183872
   -4.95495495    0.00185923
   -4.91491491    0.00188013
   -4.87487487    0.00190143
   -4.83483483    0.00192313
   -4.79479479    0.00194526
   -4.75475475    0.00196782
   -4.71471471    0.00199082
   -4.67467467    0.00201428
   -4.63463463    0.00203821
   -4.59459459    0.00206263
   -4.55455455    0.00208754
   -4.51451451    0.00211297
   -4.47447447    0.00213892
   -4.43443443    0.00216542
   -4.39439439    0.00219248
   -4.35435435    0.00222011
   -4.31431431    0.00224834
   -4.27427427    0.00227717
   -4.23423423    0.00230664
   -4.19419419    0.00233676
   -4.15415415    0.00236756
   -4.11411411    0.00239904
   -4.07407407    0.00243124
   -4.03403403    0.00246418
   -3.99399399    0.00249788
   -3.95395395    0.00253237
   -3.91391391    0.00256767
   -3.87387387    0.00260381
   -3.83383383    0.00264083
   -3.79379379    0.00267874
   -3.75375375    0.00271758
   -3.71371371    0.00275739
   -3.67367367    0.00279820
   -3.63363363    0.00284004
   -3.59359359    0.00288295
   -3.55355355    0.00292697
   -3.51351351    0.00297214
   -3.47347347    0.00301850
   -3.43343343    0.00306610
   -3.39339339    0.00311499
   -3.35335335    0.00316521
   -3.31331331    0.00321682
   -3.27327327    0.00326988
   -3.23323323    0.00332443
   -3.19319319    0.00338053
   -3.15315315    0.00343827
   -3.11311311    0.00349769
   -3.07307307    0.00355887
   -3.03303303    0.00362188
   -2.99299299    0.00368680
   -2.95295295    0.00375372
   -2.91291291    0.00382272
   -2.87287287    0.00389388
   -2.83283283    0.00396732
   -2.79279279    0.00404313
   -2.75275275    0.00412142
   -2.71271271    0.00420231
   -2.67267267    0.00428591
   -2.63263263    0.00437236
   -2.59259259    0.00446179
   -2.55255255    0.00455434
   -2.51251251    0.00465019
   -2.47247247    0.00474947
   -2.43243243    0.00485239
   -2.39239239    0.00495911
   -2.35235235    0.00506984
   -2.31231231    0.00518479
   -2.27227227    0.00530418
   -2.23223223    0.00542827
   -2.19219219    0.00555730
   -2.15215215    0.00569156
   -2.11211211    0.00583135
   -2.07207207    0.00597698
   -2.03203203    0.00612879
   -1.99199199    0.00628715
   -1.95195195    0.00645247
   -1.91191191    0.00662517
   -1.87187187    0.00680570
   -1.83183183    0.00699457
   -1.79179179    0.00719231
   -1.75175175    0.00739951
   -1.71171171    0.00761680
   -1.67167167    0.00784485
   -1.63163163    0.00808442
   -1.59159159    0.00833631
   -1.55155155    0.00860140
   -1.51151151    0.00888065
   -1.47147147    0.00917511
   -1.43143143    0.00948592
   -1.39139139    0.00981433
   -1.35135135    0.01016173
   -1.31131131    0.01052961
   -1.27127127    0.01091964
   -1.23123123    0.01133364
   -1.19119119    0.01177363
   -1.15115115    0.01224182
   -1.11111111    0.01274069
   -1.07107107    0.01327296
   -1.03103103    0.01384163
   -0.99099099    0.01445006
   -0.95095095    0.01510198
   -0.91091091    0.01580152
   -0.87087087    0.01655330
   -0.83083083    0.01736245
   -0.79079079    0.01823469
   -0.75075075    0.01917639
   -0.71071071    0.02019464
   -0.67067067    0.02129734
   -0.63063063    0.02249323
   -0.59059059    0.02379197
   -0.55055055    0.02520421
   -0.51051051    0.02674160
   -0.47047047    0.02841677
   -0.43043043    0.03024327
   -0.39039039    0.03223541
   -0.35035035    0.03440802
   -0.31031031    0.03677604
   -0.27027027    0.03935403
   -0.23023023    0.04215543
   -0.19019019    0.04519171
   -0.15015015    0.04847146
   -0.11011011    0.05199930
   -0.07007007    0.05570818
   -0.03003003    0.05969726
    0.01001001    0.06395483
    0.05005005    0.06843452
    0.09009009    0.07308996
    0.13013013    0.07783870
    0.17017017    0.08263319
    0.21021021    0.08739895
    0.25025025    0.09202973
    0.29029029    0.09639818
    0.33033033    0.10035924
    0.37037037    0.10375787
    0.41041041    0.10644139
    0.45045045    0.10827549
    0.49049049    0.10916187
    0.53053053    0.10905367
    0.57057057    0.10796499
    0.61061061    0.10597168
    0.65065065    0.10320266
    0.69069069    0.09982394
    0.73073073    0.09601873
    0.77077077    0.09196804
    0.81081081    0.08783513
    0.85085085    0.08375538
    0.89089089    0.07983184
    0.93093093    0.07613542
    0.97097097    0.07270816
    1.01101101    0.06956836
    1.05105105    0.06671639
    1.09109109    0.06414040
    1.13113113    0.06182161
    1.17117117    0.05973854
    1.21121121    0.05787021
    1.25125125    0.05619799
    1.29129129    0.05470640
    1.33133133    0.05338304
    1.37137137    0.05221800
    1.41141141    0.05120316
    1.45145145    0.05033147
    1.49149149    0.04959633
    1.53153153    0.04899117
    1.57157157    0.04850899
    1.61161161    0.04814208
    1.65165165    0.04788172
    1.69169169    0.04771806
    1.73173173    0.04764032
    1.77177177    0.04763705
    1.81181181    0.04769677
    1.85185185    0.04780856
    1.89189189    0.04796250
    1.93193193    0.04814991
    1.97197197    0.04836309
    2.01201201    0.04859504
    2.05205205    0.04883884
    2.09209209    0.04908724
    2.13213213    0.04933232
    2.17217217    0.04956543
    2.21221221    0.04977727
    2.25225225    0.04995834
    2.29229229    0.05009970
    2.33233233    0.05019382
    2.37237237    0.05023560
    2.41241241    0.05022286
    2.45245245    0.05015629
    2.49249249    0.05003871
    2.53253253    0.04987375
    2.57257257    0.04966464
    2.61261261    0.04941324
    2.65265265    0.04911994
    2.69269269    0.04878426
    2.73273273    0.04840586
    2.77277277    0.04798565
    2.81281281    0.04752630
    2.85285285    0.04703218
    2.89289289    0.04650887
    2.93293293    0.04596236
    2.97297297    0.04539859
    3.01301301    0.04482325
    3.05305305    0.04424185
    3.09309309    0.04365988
    3.13313313    0.04308297
    3.17317317    0.04251675
    3.21321321    0.04196667
    3.25325325    0.04143754
    3.29329329    0.04093316
    3.33333333    0.04045590
    3.37337337    0.04000658
    3.41341341    0.03958450
    3.45345345    0.03918779
    3.49349349    0.03881395
    3.53353353    0.03846053
    3.57357357    0.03812578
    3.61361361    0.03780920
    3.65365365    0.03751178
    3.69369369    0.03723593
    3.73373373    0.03698507
    3.77377377    0.03676307
    3.81381381    0.03657362
    3.85385385    0.03641977
    3.89389389    0.03630373
    3.93393393    0.03622688
    3.97397397    0.03619008
    4.01401401    0.03619404
    4.05405405    0.03623966
    4.09409409    0.03632805
    4.13413413    0.03646039
    4.17417417    0.03663749
    4.21421421    0.03685922
    4.25425425    0.03712409
    4.29429429    0.03742899
    4.33433433    0.03776917
    4.37437437    0.03813831
    4.41441441    0.03852879
    4.45445445    0.03893185
    4.49449449    0.03933793
    4.53453453    0.03973712
    4.57457457    0.04011980
    4.61461461    0.04047754
    4.65465465    0.04080410
    4.69469469    0.04109624
    4.73473473    0.04135424
    4.77477477    0.04158162
    4.81481481    0.04178435
    4.85485485    0.04196936
    4.89489489    0.04214299
    4.93493493    0.04230961
    4.97497497    0.04247090
    5.01501502    0.04262587
    5.05505506    0.04277158
    5.09509510    0.04290439
    5.13513514    0.04302158
    5.17517518    0.04312304
    5.21521522    0.04321275
    5.25525526    0.04329965
    5.29529530    0.04339767
    5.33533534    0.04352479
    5.37537538    0.04370132
