# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   -1.03103103    0.02019627
   -0.99099099    0.02111334
   -0.95095095    0.02209625
   -0.91091091    0.02315127
   -0.87087087    0.02428539
   -0.83083083    0.02550636
   -0.79079079    0.02682286
   -0.75075075    0.02824454
   -0.71071071    0.02978212
   -0.67067067    0.03144757
   -0.63063063    0.03325413
   -0.59059059    0.03521649
   -0.55055055    0.03735080
   -0.51051051    0.03967478
   -0.47047047    0.04220766
   -0.43043043    0.04497012
   -0.39039039    0.04798411
   -0.35035035    0.05127241
   -0.31031031    0.05485819
   -0.27027027    0.05876412
   -0.23023023    0.06301145
   -0.19019019    0.06761867
   -0.15015015    0.07260011
   -0.11011011    0.07796429
   -0.07007007    0.08360869
   -0.03003003    0.08968827
    0.01001001    0.09618702
    0.05005005    0.10303537
    0.09009009    0.11016367
    0.13013013    0.11744261
    0.17017017    0.12479887
    0.21021021    0.13211797
    0.25025025    0.13923544
    0.29029029    0.14595406
    0.33033033    0.15204942
    0.37037037    0.15728197
    0.41041041    0.16141607
    0.45045045    0.16424482
    0.49049049    0.16561705
    0.53053053    0.16546094
    0.57057057    0.16379842
    0.61061061    0.16074610
    0.65065065    0.15650198
    0.69069069    0.15132072
    0.73073073    0.14548322
    0.77077077    0.13926704
    0.81081081    0.13292249
    0.85085085    0.12665734
    0.89089089    0.12062995
    0.93093093    0.11494958
    0.97097097    0.10968147
    1.01101101    0.10485457
    1.05105105    0.10047034
    1.09109109    0.09651154
    1.13113113    0.09295009
    1.17117117    0.08975356
    1.21121121    0.08688993
    1.25125125    0.08433043
    1.29129129    0.08205071
    1.33133133    0.08003064
    1.37137137    0.07825347
    1.41141141    0.07670477
    1.45145145    0.07537148
    1.49149149    0.07424132
    1.53153153    0.07330232
    1.57157157    0.07254263
    1.61161161    0.07195016
    1.65165165    0.07151236
    1.69169169    0.07121593
    1.73173173    0.07104677
    1.77177177    0.07099021
    1.81181181    0.07103140
    1.85185185    0.07115595
    1.89189189    0.07135035
    1.93193193    0.07160217
    1.97197197    0.07189987
    2.01201201    0.07223232
    2.05205205    0.07258813
    2.09209209    0.07295501
    2.13213213    0.07331934
    2.17217217    0.07366600
    2.21221221    0.07397872
    2.25225225    0.07424091
    2.29229229    0.07443707
    2.33233233    0.07455453
    2.37237237    0.07458504
    2.41241241    0.07452574
    2.45245245    0.07437883
    2.49249249    0.07415021
    2.53253253    0.07384721
    2.57257257    0.07347636
    2.61261261    0.07304185
    2.65265265    0.07254518
    2.69269269    0.07198606
    2.73273273    0.07136409
    2.77277277    0.07068042
    2.81281281    0.06993871
    2.85285285    0.06914515
    2.89289289    0.06830765
    2.93293293    0.06743470
    2.97297297    0.06653461
    3.01301301    0.06561512
    3.05305305    0.06468354
    3.09309309    0.06374702
    3.13313313    0.06281285
    3.17317317    0.06188847
    3.21321321    0.06098131
    3.25325325    0.06009842
    3.29329329    0.05924597
    3.33333333    0.05842870
    3.37337337    0.05764957
    3.41341341    0.05690953
    3.45345345    0.05620764
    3.49349349    0.05554161
    3.53353353    0.05490853
    3.57357357    0.05430583
    3.61361361    0.05373223
    3.65365365    0.05318834
    3.69369369    0.05267684
    3.73373373    0.05220214
    3.77377377    0.05176961
    3.81381381    0.05138465
    3.85385385    0.05105187
    3.89389389    0.05077446
    3.93393393    0.05055414
    3.97397397    0.05039135
    4.01401401    0.05028586
    4.05405405    0.05023738
    4.09409409    0.05024585
    4.13413413    0.05031150
    4.17417417    0.05043445
    4.21421421    0.05061401
    4.25425425    0.05084806
    4.29429429    0.05113251
    4.33433433    0.05146098
    4.37437437    0.05182464
    4.41441441    0.05221223
    4.45445445    0.05261015
