# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   -1.03103103    0.00167924
   -0.99099099    0.00169370
   -0.95095095    0.00170837
   -0.91091091    0.00172324
   -0.87087087    0.00173833
   -0.83083083    0.00175364
   -0.79079079    0.00176917
   -0.75075075    0.00178493
   -0.71071071    0.00180092
   -0.67067067    0.00181715
   -0.63063063    0.00183363
   -0.59059059    0.00185035
   -0.55055055    0.00186734
   -0.51051051    0.00188458
   -0.47047047    0.00190210
   -0.43043043    0.00191990
   -0.39039039    0.00193797
   -0.35035035    0.00195634
   -0.31031031    0.00197501
   -0.27027027    0.00199399
   -0.23023023    0.00201327
   -0.19019019    0.00203288
   -0.15015015    0.00205281
   -0.11011011    0.00207308
   -0.07007007    0.00209358
   -0.03003003    0.00211444
    0.01001001    0.00213571
    0.05005005    0.00215742
    0.09009009    0.00217957
    0.13013013    0.00220201
    0.17017017    0.00222478
    0.21021021    0.00224795
    0.25025025    0.00227151
    0.29029029    0.00229548
    0.33033033    0.00231987
    0.37037037    0.00234468
    0.41041041    0.00236992
    0.45045045    0.00239561
    0.49049049    0.00242175
    0.53053053    0.00244836
    0.57057057    0.00247545
    0.61061061    0.00250304
    0.65065065    0.00253116
    0.69069069    0.00255981
    0.73073073    0.00258902
    0.77077077    0.00261880
    0.81081081    0.00264917
    0.85085085    0.00268012
    0.89089089    0.00271167
    0.93093093    0.00274382
    0.97097097    0.00277657
    1.01101101    0.00280993
    1.05105105    0.00284390
    1.09109109    0.00287850
    1.13113113    0.00291374
    1.17117117    0.00294964
    1.21121121    0.00298622
    1.25125125    0.00302349
    1.29129129    0.00306147
    1.33133133    0.00310016
    1.37137137    0.00313956
    1.41141141    0.00317966
    1.45145145    0.00322046
    1.49149149    0.00326196
    1.53153153    0.00330417
    1.57157157    0.00334710
    1.61161161    0.00339078
    1.65165165    0.00343526
    1.69169169    0.00348057
    1.73173173    0.00352676
    1.77177177    0.00357389
    1.81181181    0.00362200
    1.85185185    0.00367114
    1.89189189    0.00372132
    1.93193193    0.00377258
    1.97197197    0.00382494
    2.01201201    0.00387841
    2.05205205    0.00393300
    2.09209209    0.00398876
    2.13213213    0.00404569
    2.17217217    0.00410384
    2.21221221    0.00416327
    2.25225225    0.00422401
    2.29229229    0.00428614
    2.33233233    0.00434971
    2.37237237    0.00441478
    2.41241241    0.00448141
    2.45245245    0.00454968
    2.49249249    0.00461963
    2.53253253    0.00469132
    2.57257257    0.00476484
    2.61261261    0.00484023
    2.65265265    0.00491759
    2.69269269    0.00499698
    2.73273273    0.00507850
    2.77277277    0.00516224
    2.81281281    0.00524830
    2.85285285    0.00533679
    2.89289289    0.00542782
    2.93293293    0.00552151
    2.97297297    0.00561797
    3.01301301    0.00571732
    3.05305305    0.00581971
    3.09309309    0.00592525
    3.13313313    0.00603410
    3.17317317    0.00614639
    3.21321321    0.00626229
    3.25325325    0.00638194
    3.29329329    0.00650553
    3.33333333    0.00663322
    3.37337337    0.00676521
    3.41341341    0.00690168
    3.45345345    0.00704285
    3.49349349    0.00718895
    3.53353353    0.00734023
    3.57357357    0.00749696
    3.61361361    0.00765943
    3.65365365    0.00782795
    3.69369369    0.00800287
    3.73373373    0.00818452
    3.77377377    0.00837330
    3.81381381    0.00856960
    3.85385385    0.00877385
    3.89389389    0.00898651
    3.93393393    0.00920807
    3.97397397    0.00943907
    4.01401401    0.00968007
    4.05405405    0.00993168
    4.09409409    0.01019458
    4.13413413    0.01046944
    4.17417417    0.01075703
    4.21421421    0.01105814
    4.25425425    0.01137359
    4.29429429    0.01170426
    4.33433433    0.01205107
    4.37437437    0.01241500
    4.41441441    0.01279710
    4.45445445    0.01319847
    4.49449449    0.01362030
    4.53453453    0.01406389
    4.57457457    0.01453066
    4.61461461    0.01502212
    4.65465465    0.01553997
    4.69469469    0.01608604
    4.73473473    0.01666233
    4.77477477    0.01727103
    4.81481481    0.01791451
    4.85485485    0.01859535
    4.89489489    0.01931634
    4.93493493    0.02008052
    4.97497497    0.02089118
    5.01501502    0.02175189
    5.05505506    0.02266656
    5.09509510    0.02363943
    5.13513514    0.02467521
    5.17517518    0.02577907
    5.21521522    0.02695670
    5.25525526    0.02821443
    5.29529530    0.02955923
    5.33533534    0.03099879
    5.37537538    0.03254155
    5.41541542    0.03419672
    5.45545546    0.03597431
    5.49549550    0.03788503
    5.53553554    0.03994028
    5.57557558    0.04215198
    5.61561562    0.04453232
    5.65565566    0.04709342
    5.69569570    0.04984685
    5.73573574    0.05280306
    5.77577578    0.05597056
    5.81581582    0.05935505
    5.85585586    0.06295844
    5.89589590    0.06677774
    5.93593594    0.07080409
    5.97597598    0.07502199
    6.01601602    0.07940879
    6.05605606    0.08393481
    6.09609610    0.08856393
    6.13613614    0.09325482
    6.17617618    0.09796257
    6.21621622    0.10264054
    6.25625626    0.10724224
    6.29629630    0.11172313
    6.33633634    0.11604230
    6.37637638    0.12016405
    6.41641642    0.12405942
    6.45645646    0.12770736
    6.49649650    0.13109547
    6.53653654    0.13421973
    6.57657658    0.13708319
    6.61661662    0.13969383
    6.65665666    0.14206182
    6.69669670    0.14419665
    6.73673674    0.14610480
    6.77677678    0.14778787
    6.81681682    0.14924172
    6.85685686    0.15045646
    6.89689690    0.15141732
    6.93693694    0.15210654
    6.97697698    0.15250604
    7.01701702    0.15260079
    7.05705706    0.15238258
    7.09709710    0.15185355
    7.13713714    0.15102881
    7.17717718    0.14993754
    7.21721722    0.14862201
    7.25725726    0.14713463
    7.29729730    0.14553339
    7.33733734    0.14387659
    7.37737738    0.14221768
    7.41741742    0.14060094
    7.45745746    0.13905874
    7.49749750    0.13761012
    7.53753754    0.13626089
    7.57757758    0.13500469
    7.61761762    0.13382470
    7.65765766    0.13269575
    7.69769770    0.13158658
    7.73773774    0.13046229
    7.77777778    0.12928690
    7.81781782    0.12802595
    7.85785786    0.12664896
    7.89789790    0.12513153
    7.93793794    0.12345696
    7.97797798    0.12161742
    8.01801802    0.11961462
    8.05805806    0.11746005
    8.09809810    0.11517473
    8.13813814    0.11278830
    8.17817818    0.11033731
    8.21821822    0.10786280
    8.25825826    0.10540735
    8.29829830    0.10301200
    8.33833834    0.10071354
    8.37837838    0.09854227
    8.41841842    0.09652055
    8.45845846    0.09466203
    8.49849850    0.09297143
    8.53853854    0.09144484
    8.57857858    0.09007027
    8.61861862    0.08882860
    8.65865866    0.08769480
    8.69869870    0.08663958
    8.73873874    0.08563130
    8.77877878    0.08463836
    8.81881882    0.08363172
    8.85885886    0.08258750
    8.89889890    0.08148923
    8.93893894    0.08032948
    8.97897898    0.07911060
    9.01901902    0.07784428
    9.05905906    0.07655005
    9.09909910    0.07525309
    9.13913914    0.07398152
    9.17917918    0.07276375
    9.21921922    0.07162616
    9.25925926    0.07059128
    9.29929930    0.06967660
    9.33933934    0.06889379
    9.37937938    0.06824841
    9.41941942    0.06774002
    9.45945946    0.06736253
    9.49949950    0.06710505
    9.53953954    0.06695314
    9.57957958    0.06689039
    9.61961962    0.06690041
    9.65965966    0.06696885
    9.69969970    0.06708515
    9.73973974    0.06724380
    9.77977978    0.06744462
    9.81981982    0.06769239
    9.85985986    0.06799562
    9.89989990    0.06836503
    9.93993994    0.06881187
    9.97997998    0.06934641
   10.02002002    0.06997664
   10.06006006    0.07070728
   10.10010010    0.07153910
   10.14014014    0.07246847
   10.18018018    0.07348739
   10.22022022    0.07458380
   10.26026026    0.07574238
   10.30030030    0.07694577
   10.34034034    0.07817598
   10.38038038    0.07941600
   10.42042042    0.08065123
   10.46046046    0.08187060
   10.50050050    0.08306715
   10.54054054    0.08423800
   10.58058058    0.08538383
   10.62062062    0.08650783
   10.66066066    0.08761446
   10.70070070    0.08870811
   10.74074074    0.08979195
   10.78078078    0.09086687
   10.82082082    0.09193095
   10.86086086    0.09297925
   10.90090090    0.09400408
   10.94094094    0.09499566
   10.98098098    0.09594315
   11.02102102    0.09683580
   11.06106106    0.09766405
   11.10110110    0.09842051
   11.14114114    0.09910032
   11.18118118    0.09970115
   11.22122122    0.10022262
   11.26126126    0.10066542
   11.30130130    0.10103016
   11.34134134    0.10131626
   11.38138138    0.10152084
   11.42142142    0.10163804
   11.46146146    0.10165853
   11.50150150    0.10156977
   11.54154154    0.10135684
   11.58158158    0.10100409
   11.62162162    0.10049726
   11.66166166    0.09982599
   11.70170170    0.09898616
   11.74174174    0.09798172
   11.78178178    0.09682551
   11.82182182    0.09553898
   11.86186186    0.09415075
   11.90190190    0.09269428
   11.94194194    0.09120501
   11.98198198    0.08971755
   12.02202202    0.08826319
   12.06206206    0.08686801
   12.10210210    0.08555178
   12.14214214    0.08432744
   12.18218218    0.08320131
   12.22222222    0.08217357
   12.26226226    0.08123921
   12.30230230    0.08038912
   12.34234234    0.07961127
   12.38238238    0.07889204
   12.42242242    0.07821742
   12.46246246    0.07757415
   12.50250250    0.07695054
   12.54254254    0.07633704
   12.58258258    0.07572645
   12.62262262    0.07511387
   12.66266266    0.07449640
   12.70270270    0.07387275
   12.74274274    0.07324284
   12.78278278    0.07260736
   12.82282282    0.07196733
   12.86286286    0.07132379
   12.90290290    0.07067745
   12.94294294    0.07002850
   12.98298298    0.06937664
   13.02302302    0.06872119
   13.06306306    0.06806148
   13.10310310    0.06739729
   13.14314314    0.06672921
   13.18318318    0.06605896
   13.22322322    0.06538943
   13.26326326    0.06472455
   13.30330330    0.06406899
   13.34334334    0.06342774
   13.38338338    0.06280562
   13.42342342    0.06220687
   13.46346346    0.06163477
   13.50350350    0.06109150
   13.54354354    0.06057804
   13.58358358    0.06009432
   13.62362362    0.05963942
   13.66366366    0.05921191
   13.70370370    0.05881013
   13.74374374    0.05843257
   13.78378378    0.05807814
   13.82382382    0.05774643
   13.86386386    0.05743792
   13.90390390    0.05715404
   13.94394394    0.05689723
   13.98398398    0.05667073
   14.02402402    0.05647832
   14.06406406    0.05632400
   14.10410410    0.05621152
   14.14414414    0.05614398
   14.18418418    0.05612355
   14.22422422    0.05615117
   14.26426426    0.05622640
