# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00050313
   -9.95995996    0.00050543
   -9.91991992    0.00050774
   -9.87987988    0.00051008
   -9.83983984    0.00051243
   -9.79979980    0.00051479
   -9.75975976    0.00051718
   -9.71971972    0.00051958
   -9.67967968    0.00052200
   -9.63963964    0.00052444
   -9.59959960    0.00052690
   -9.55955956    0.00052937
   -9.51951952    0.00053187
   -9.47947948    0.00053438
   -9.43943944    0.00053691
   -9.39939940    0.00053947
   -9.35935936    0.00054204
   -9.31931932    0.00054463
   -9.27927928    0.00054724
   -9.23923924    0.00054987
   -9.19919920    0.00055253
   -9.15915916    0.00055520
   -9.11911912    0.00055790
   -9.07907908    0.00056061
   -9.03903904    0.00056335
   -8.99899900    0.00056611
   -8.95895896    0.00056889
   -8.91891892    0.00057169
   -8.87887888    0.00057452
   -8.83883884    0.00057737
   -8.79879880    0.00058024
   -8.75875876    0.00058314
   -8.71871872    0.00058606
   -8.67867868    0.00058900
   -8.63863864    0.00059197
   -8.59859860    0.00059496
   -8.55855856    0.00059798
   -8.51851852    0.00060102
   -8.47847848    0.00060409
   -8.43843844    0.00060718
   -8.39839840    0.00061030
   -8.35835836    0.00061344
   -8.31831832    0.00061662
   -8.27827828    0.00061982
   -8.23823824    0.00062304
   -8.19819820    0.00062630
   -8.15815816    0.00062958
   -8.11811812    0.00063289
   -8.07807808    0.00063623
   -8.03803804    0.00063960
   -7.99799800    0.00064300
   -7.95795796    0.00064643
   -7.91791792    0.00064989
   -7.87787788    0.00065338
   -7.83783784    0.00065690
   -7.79779780    0.00066045
   -7.75775776    0.00066404
   -7.71771772    0.00066765
   -7.67767768    0.00067130
   -7.63763764    0.00067499
   -7.59759760    0.00067871
   -7.55755756    0.00068246
   -7.51751752    0.00068624
   -7.47747748    0.00069007
   -7.43743744    0.00069392
   -7.39739740    0.00069782
   -7.35735736    0.00070175
   -7.31731732    0.00070572
   -7.27727728    0.00070972
   -7.23723724    0.00071377
   -7.19719720    0.00071785
   -7.15715716    0.00072197
   -7.11711712    0.00072614
   -7.07707708    0.00073034
   -7.03703704    0.00073459
   -6.99699700    0.00073887
   -6.95695696    0.00074320
   -6.91691692    0.00074757
   -6.87687688    0.00075199
   -6.83683684    0.00075645
   -6.79679680    0.00076096
   -6.75675676    0.00076551
   -6.71671672    0.00077011
   -6.67667668    0.00077475
   -6.63663664    0.00077945
   -6.59659660    0.00078419
   -6.55655656    0.00078898
   -6.51651652    0.00079383
   -6.47647648    0.00079872
   -6.43643644    0.00080367
   -6.39639640    0.00080867
   -6.35635636    0.00081372
   -6.31631632    0.00081883
   -6.27627628    0.00082399
   -6.23623624    0.00082921
   -6.19619620    0.00083449
   -6.15615616    0.00083983
   -6.11611612    0.00084523
   -6.07607608    0.00085068
   -6.03603604    0.00085620
   -5.99599600    0.00086178
   -5.95595596    0.00086743
   -5.91591592    0.00087314
   -5.87587588    0.00087891
   -5.83583584    0.00088476
   -5.79579580    0.00089067
   -5.75575576    0.00089665
   -5.71571572    0.00090270
   -5.67567568    0.00090883
   -5.63563564    0.00091503
   -5.59559560    0.00092131
   -5.55555556    0.00092766
   -5.51551552    0.00093409
   -5.47547548    0.00094060
   -5.43543544    0.00094719
   -5.39539540    0.00095386
   -5.35535536    0.00096062
   -5.31531532    0.00096746
   -5.27527528    0.00097440
   -5.23523524    0.00098142
   -5.19519520    0.00098853
   -5.15515516    0.00099574
   -5.11511512    0.00100304
   -5.07507508    0.00101045
   -5.03503504    0.00101795
   -4.99499499    0.00102555
   -4.95495495    0.00103325
   -4.91491491    0.00104107
   -4.87487487    0.00104899
   -4.83483483    0.00105702
   -4.79479479    0.00106517
   -4.75475475    0.00107343
   -4.71471471    0.00108181
   -4.67467467    0.00109031
   -4.63463463    0.00109894
   -4.59459459    0.00110769
   -4.55455455    0.00111658
   -4.51451451    0.00112560
   -4.47447447    0.00113475
   -4.43443443    0.00114405
   -4.39439439    0.00115349
   -4.35435435    0.00116307
   -4.31431431    0.00117281
   -4.27427427    0.00118270
   -4.23423423    0.00119275
   -4.19419419    0.00120297
   -4.15415415    0.00121335
   -4.11411411    0.00122390
   -4.07407407    0.00123463
   -4.03403403    0.00124555
   -3.99399399    0.00125664
   -3.95395395    0.00126793
   -3.91391391    0.00127942
   -3.87387387    0.00129111
   -3.83383383    0.00130301
   -3.79379379    0.00131512
   -3.75375375    0.00132746
   -3.71371371    0.00134002
   -3.67367367    0.00135281
   -3.63363363    0.00136585
   -3.59359359    0.00137914
   -3.55355355    0.00139269
   -3.51351351    0.00140650
   -3.47347347    0.00142058
   -3.43343343    0.00143495
   -3.39339339    0.00144961
   -3.35335335    0.00146457
   -3.31331331    0.00147984
   -3.27327327    0.00149544
   -3.23323323    0.00151137
   -3.19319319    0.00152765
   -3.15315315    0.00154428
   -3.11311311    0.00156129
   -3.07307307    0.00157868
   -3.03303303    0.00159648
   -2.99299299    0.00161468
   -2.95295295    0.00163332
   -2.91291291    0.00165241
   -2.87287287    0.00167196
   -2.83283283    0.00169199
   -2.79279279    0.00171253
   -2.75275275    0.00173359
   -2.71271271    0.00175520
   -2.67267267    0.00177738
   -2.63263263    0.00180015
   -2.59259259    0.00182354
   -2.55255255    0.00184758
   -2.51251251    0.00187229
   -2.47247247    0.00189772
   -2.43243243    0.00192388
   -2.39239239    0.00195082
